Vd,Vg,Id,
2.8,-0.4,0.01917,-6.41E-009
2.8,-0.3,0.02486,-2.61E-009
2.8,-0.2,0.03055,-1.1E-009
2.8,-0.1,0.03633,-5.09E-010
2.8,0,0.04208,-6.86E-010
2.9,-1.8,8.38E-008,-0.000000095
2.9,-1.7,7.41E-008,-8.11E-008
2.9,-1.6,6.62E-008,-7.18E-008
2.9,-1.5,5.94E-008,-6.35E-008
2.9,-1.4,5.33E-008,-5.63E-008
2.9,-1.3,0.000000051,-4.96E-008
2.9,-1.2,0.000000108,-4.46E-008
2.9,-1.1,0.00000151,-3.82E-008
2.9,-1,0.0000249,-3.36E-008
2.9,-0.9,0.0002539,-3.35E-008
2.9,-0.8,0.001341,-3.48E-008
2.9,-0.7,0.004125,-3.23E-008
2.9,-0.6,0.008459,-2.44E-008
2.9,-0.5,0.01373,-1.52E-008
2.9,-0.4,0.01937,-0.000000008
2.9,-0.3,0.02503,-0.000000003
2.9,-0.2,0.03067,-1.44E-009
2.9,-0.1,0.03642,-6.98E-010
2.9,0,0.04215,-8.7E-010
3,-1.8,9.06E-008,-0.000000102
3,-1.7,7.97E-008,-8.63E-008
3,-1.6,7.14E-008,-7.65E-008
3,-1.5,6.36E-008,-6.79E-008
3,-1.4,5.72E-008,-6.02E-008
3,-1.3,5.53E-008,-5.32E-008
3,-1.2,0.000000127,-4.68E-008
3,-1.1,0.00000153,-4.04E-008
3,-1,0.0000252,-3.58E-008
3,-0.9,0.0002643,-3.73E-008
3,-0.8,0.001448,-3.97E-008
3,-0.7,0.004275,-3.66E-008
3,-0.6,0.008628,-2.81E-008
3,-0.5,0.01392,-1.74E-008
3,-0.4,0.01952,-8.81E-009
3,-0.3,0.02518,-3.51E-009
3,-0.2,0.03082,-1.19E-009
3,-0.1,0.03653,-8.89E-010
3,0,0.04222,-9.41E-010
3.1,-1.8,0.000000098,-0.00000011
3.1,-1.7,8.51E-008,-9.22E-008
3.1,-1.6,7.69E-008,-0.000000082
3.1,-1.5,6.85E-008,-7.24E-008
3.1,-1.4,6.18E-008,-6.44E-008
3.1,-1.3,5.99E-008,-5.75E-008
3.1,-1.2,0.000000156,-5.03E-008
3.1,-1.1,0.0000019,-4.34E-008
3.1,-1,0.0000284,-3.93E-008
